,年次,調査区域,項目,variable,value
15189,2009年,全国,生鮮野菜【円】,第3階級,"3,863"
15190,2009年,全国,乾物・海藻【円】,第3階級,443
15191,2009年,全国,大豆加工品【円】,第3階級,735
15192,2009年,全国,他の野菜・海藻加工品【円】,第3階級,757
15193,2009年,全国,果物【円】,第3階級,"2,016"
15194,2009年,全国,生鮮果物【円】,第3階級,"1,949"
15195,2009年,全国,果物加工品【円】,第3階級,67
15196,2009年,全国,油脂・調味料【円】,第3階級,"2,118"
15197,2009年,全国,油脂【円】,第3階級,196
15198,2009年,全国,調味料【円】,第3階級,"1,922"
15199,2009年,全国,菓子類【円】,第3階級,"3,043"
15200,2009年,全国,調理食品【円】,第3階級,"5,871"
15201,2009年,全国,主食的調理食品【円】,第3階級,"2,744"
15202,2009年,全国,他の調理食品【円】,第3階級,"3,127"
15203,2009年,全国,飲料【円】,第3階級,"2,574"
15204,2009年,全国,茶類【円】,第3階級,698
15205,2009年,全国,コーヒー・ココア【円】,第3階級,522
15206,2009年,全国,他の飲料【円】,第3階級,"1,353"
15207,2009年,全国,酒類【円】,第3階級,"2,430"
15208,2009年,全国,外食【円】,第3階級,"8,139"
15209,2009年,全国,一般外食【円】,第3階級,"7,860"
15210,2009年,全国,学校給食【円】,第3階級,279
15211,2009年,全国,賄い費【円】,第3階級,4
15212,2009年,全国,住居【円】,第3階級,"22,732"
15213,2009年,全国,家賃地代【円】,第3階級,"15,920"
15214,2009年,全国,（特掲）家賃【円】,第3階級,"15,754"
15215,2009年,全国,設備修繕・維持【円】,第3階級,"6,812"
15216,2009年,全国,設備材料【円】,第3階級,"1,185"
15217,2009年,全国,工事その他のサービス【円】,第3階級,"5,627"
15218,2009年,全国,光熱・水道【円】,第3階級,"13,550"
15219,2009年,全国,電気代【円】,第3階級,"5,870"
15220,2009年,全国,ガス代【円】,第3階級,"3,474"
15221,2009年,全国,他の光熱【円】,第3階級,681
15222,2009年,全国,上下水道料【円】,第3階級,"3,525"
15223,2009年,全国,家具・家事用品【円】,第3階級,"6,121"
15224,2009年,全国,家庭用耐久財【円】,第3階級,"1,759"
15225,2009年,全国,家事用耐久財【円】,第3階級,842
15226,2009年,全国,冷暖房用器具【円】,第3階級,609
15227,2009年,全国,一般家具【円】,第3階級,308
15228,2009年,全国,室内装備・装飾品【円】,第3階級,595
15229,2009年,全国,寝具類【円】,第3階級,422
15230,2009年,全国,家事雑貨【円】,第3階級,"1,288"
15231,2009年,全国,家事用消耗品【円】,第3階級,"1,389"
15232,2009年,全国,家事サービス【円】,第3階級,668
15233,2009年,全国,被服及び履物【円】,第3階級,"7,147"
15234,2009年,全国,和服【円】,第3階級,60
15235,2009年,全国,洋服【円】,第3階級,"2,965"
15236,2009年,全国,男子用洋服【円】,第3階級,903
15237,2009年,全国,婦人用洋服【円】,第3階級,"1,907"
15238,2009年,全国,子供用洋服【円】,第3階級,155
15239,2009年,全国,シャツ・セーター類【円】,第3階級,"1,359"
15240,2009年,全国,男子用シャツ・セーター類【円】,第3階級,406
15241,2009年,全国,婦人用シャツ・セーター類【円】,第3階級,917
15242,2009年,全国,子供用シャツ・セーター類【円】,第3階級,36
15243,2009年,全国,下着類【円】,第3階級,716
15244,2009年,全国,男子用下着類【円】,第3階級,246
15245,2009年,全国,婦人用下着類【円】,第3階級,444
15246,2009年,全国,子供用下着類【円】,第3階級,27
15247,2009年,全国,生地・糸類【円】,第3階級,126
15248,2009年,全国,他の被服【円】,第3階級,653
15249,2009年,全国,履物類【円】,第3階級,905
15250,2009年,全国,被服関連サービス【円】,第3階級,364
15251,2009年,全国,保健医療【円】,第3階級,"9,159"
15252,2009年,全国,医薬品【円】,第3階級,"1,955"
15253,2009年,全国,健康保持用摂取品【円】,第3階級,897
15254,2009年,全国,保健医療用品・器具【円】,第3階級,"1,309"
15255,2009年,全国,保健医療サービス【円】,第3階級,"4,998"
15256,2009年,全国,交通・通信【円】,第3階級,"24,379"
15257,2009年,全国,交通【円】,第3階級,"3,675"
15258,2009年,全国,自動車等関係費【円】,第3階級,"12,369"
15259,2009年,全国,自動車等購入【円】,第3階級,"2,673"
15260,2009年,全国,自転車購入【円】,第3階級,100
15261,2009年,全国,自動車等維持【円】,第3階級,"9,597"
15262,2009年,全国,通信【円】,第3階級,"8,335"
15263,2009年,全国,（特掲）移動電話通信料【円】,第3階級,"4,959"
15264,2009年,全国,教育【円】,第3階級,"2,454"
15265,2009年,全国,授業料等【円】,第3階級,"2,133"
15266,2009年,全国,教科書・学習参考教材【円】,第3階級,70
15267,2009年,全国,補習教育【円】,第3階級,251
15268,2009年,全国,教養娯楽【円】,第3階級,"22,002"
15269,2009年,全国,教養娯楽用耐久財【円】,第3階級,"2,146"
15270,2009年,全国,教養娯楽用品【円】,第3階級,"4,300"
15271,2009年,全国,書籍・他の印刷物【円】,第3階級,"3,780"
15272,2009年,全国,教養娯楽サービス【円】,第3階級,"11,775"
15273,2009年,全国,宿泊料【円】,第3階級,953
15274,2009年,全国,パック旅行費【円】,第3階級,"2,716"
15275,2009年,全国,月謝類【円】,第3階級,"1,373"
15276,2009年,全国,他の教養娯楽サービス【円】,第3階級,"6,733"
15277,2009年,全国,（特掲）インターネット接続料【円】,第3階級,"1,321"
15278,2009年,全国,その他の消費支出【円】,第3階級,"39,705"
15279,2009年,全国,諸雑費【円】,第3階級,"16,474"
15280,2009年,全国,理美容サービス【円】,第3階級,"2,471"
15281,2009年,全国,理美容用品【円】,第3階級,"2,752"
15282,2009年,全国,身の回り用品【円】,第3階級,"1,123"
15283,2009年,全国,たばこ【円】,第3階級,"1,232"
15284,2009年,全国,他の諸雑費【円】,第3階級,"8,896"
15285,2009年,全国,こづかい（使途不明）【円】,第3階級,"4,068"
15286,2009年,全国,交際費【円】,第3階級,"16,946"
15287,2009年,全国,食料（交際費）【円】,第3階級,"3,661"
15288,2009年,全国,家具・家事用品（交際費）【円】,第3階級,213
15289,2009年,全国,被服及び履物（交際費）【円】,第3階級,391
15290,2009年,全国,教養娯楽（交際費）【円】,第3階級,569
15291,2009年,全国,他の物品サービス（交際費）【円】,第3階級,402
15292,2009年,全国,贈与金（交際費）【円】,第3階級,"9,170"
15293,2009年,全国,他の交際費【円】,第3階級,"2,540"
15294,2009年,全国,仕送り金（支出）【円】,第3階級,"2,216"
15295,2009年,全国,（再掲）移転支出【円】,第3階級,"11,386"
15296,2009年,全国,（再掲）教育関係費【円】,第3階級,"4,048"
15297,2009年,全国,（再掲）教養娯楽関係費【円】,第3階級,"24,651"
15298,2009年,全国,（再掲）教養娯楽関係費　耐久財【円】,第3階級,"2,229"
15299,2009年,全国,（再掲）教養娯楽関係費　読書【円】,第3階級,"3,813"
15300,2009年,全国,（再掲）教養娯楽関係費　聴視・観覧【円】,第3階級,"2,204"
15301,2009年,全国,（再掲）教養娯楽関係費　旅行【円】,第3階級,"5,932"
15302,2009年,全国,（再掲）教養娯楽関係費　スポーツ【円】,第3階級,"1,380"
15303,2009年,全国,（再掲）教養娯楽関係費　月謝【円】,第3階級,"1,354"
15304,2009年,全国,（再掲）教養娯楽関係費　会費・つきあい費【円】,第3階級,604
15305,2009年,全国,（再掲）教養娯楽関係費　他の教養娯楽【円】,第3階級,"7,134"
15306,2009年,全国,（再掲）教養娯楽関係費　(耐久財を除く）【円】,第3階級,"22,422"
15307,2009年,全国,（再掲）情報通信関係費【円】,第3階級,"10,368"
15308,2009年,全国,（再掲）経常消費支出【円】,第3階級,"169,498"
15309,2009年,全国,非消費支出【円】,第3階級,***
15310,2009年,全国,直接税【円】,第3階級,***
15311,2009年,全国,勤労所得税【円】,第3階級,***
15312,2009年,全国,個人住民税【円】,第3階級,***
15313,2009年,全国,他の税【円】,第3階級,***
15314,2009年,全国,社会保険料【円】,第3階級,***
15315,2009年,全国,公的年金保険料【円】,第3階級,***
15316,2009年,全国,健康保険料【円】,第3階級,***
15317,2009年,全国,介護保険料【円】,第3階級,***
15318,2009年,全国,他の社会保険料【円】,第3階級,***
15319,2009年,全国,他の非消費支出【円】,第3階級,***
15320,2009年,全国,実支出以外の支払（繰越金を除く）【円】,第3階級,***
15321,2009年,全国,預貯金【円】,第3階級,***
15322,2009年,全国,保険料【円】,第3階級,***
15323,2009年,全国,個人・企業年金保険料【円】,第3階級,***
15324,2009年,全国,他の保険料【円】,第3階級,***
15325,2009年,全国,有価証券購入【円】,第3階級,***
15326,2009年,全国,株式購入【円】,第3階級,***
15327,2009年,全国,他の有価証券購入【円】,第3階級,***
15328,2009年,全国,土地家屋借金返済【円】,第3階級,"4,980"
15329,2009年,全国,他の借金返済【円】,第3階級,***
15330,2009年,全国,分割払・一括払購入借入金返済【円】,第3階級,***
15331,2009年,全国,財産購入【円】,第3階級,***
15332,2009年,全国,実支出以外の支払のその他【円】,第3階級,***
15333,2009年,全国,繰越金【円】,第3階級,***
15334,2009年,全国,財・サービス支出計【円】,第3階級,"175,795"
15335,2009年,全国,商品　（財）【円】,第3階級,"97,081"
15336,2009年,全国,耐久財【円】,第3階級,"9,460"
15337,2009年,全国,半耐久財【円】,第3階級,"14,672"
15338,2009年,全国,非耐久財【円】,第3階級,"72,949"
15339,2009年,全国,サービス【円】,第3階級,"78,714"
15340,2009年,全国,食料（財・サービス）【円】,第3階級,"50,203"
15341,2009年,全国,非耐久財（食料）【円】,第3階級,"41,208"
15342,2009年,全国,サービス（食料）【円】,第3階級,"8,995"
15343,2009年,全国,住居（財・サービス）【円】,第3階級,"22,740"
15344,2009年,全国,耐久財（住居）【円】,第3階級,920
15345,2009年,全国,半耐久財（住居）【円】,第3階級,265
15346,2009年,全国,サービス（住居）【円】,第3階級,"21,555"
15347,2009年,全国,光熱・水道（非耐久財）【円】,第3階級,"13,550"
15348,2009年,全国,家具・家事用品（財・サービス）【円】,第3階級,"6,334"
15349,2009年,全国,耐久財（家具・家事用品）【円】,第3階級,"2,192"
15350,2009年,全国,半耐久財（家具・家事用品）【円】,第3階級,"2,067"
15351,2009年,全国,非耐久財（家具・家事用品）【円】,第3階級,"1,407"
15352,2009年,全国,サービス（家具・家事用品）【円】,第3階級,668
15353,2009年,全国,被服及び履物（財・サービス）【円】,第3階級,"7,538"
15354,2009年,全国,半耐久財（被服及び履物）【円】,第3階級,"7,172"
15355,2009年,全国,サービス（被服及び履物）【円】,第3階級,366
15356,2009年,全国,保健医療（財・サービス）【円】,第3階級,"9,218"
15357,2009年,全国,耐久財（保健医療）【円】,第3階級,522
15358,2009年,全国,半耐久財（保健医療）【円】,第3階級,226
15359,2009年,全国,非耐久財（保健医療）【円】,第3階級,"3,466"
15360,2009年,全国,サービス（保健医療）【円】,第3階級,"5,004"
15361,2009年,全国,交通・通信（財・サービス）【円】,第3階級,"24,517"
15362,2009年,全国,耐久財（交通・通信）【円】,第3階級,"2,909"
15363,2009年,全国,半耐久財（交通・通信）【円】,第3階級,"1,201"
15364,2009年,全国,非耐久財（交通・通信）【円】,第3階級,"3,755"
15365,2009年,全国,サービス（交通・通信）【円】,第3階級,"16,652"
15366,2009年,全国,教育（財・サービス）【円】,第3階級,"2,455"
15367,2009年,全国,非耐久財（教育）【円】,第3階級,71
15368,2009年,全国,サービス（教育）【円】,第3階級,"2,384"
15369,2009年,全国,教養娯楽（財・サービス）【円】,第3階級,"22,571"
15370,2009年,全国,耐久財（教養娯楽）【円】,第3階級,"2,095"
15371,2009年,全国,半耐久財（教養娯楽）【円】,第3階級,"2,440"
15372,2009年,全国,非耐久財（教養娯楽）【円】,第3階級,"5,708"
15373,2009年,全国,サービス（教養娯楽）【円】,第3階級,"12,329"
15374,2009年,全国,諸雑費（財・サービス）【円】,第3階級,"16,669"
15375,2009年,全国,耐久財（諸雑費）【円】,第3階級,822
15376,2009年,全国,半耐久財（諸雑費）【円】,第3階級,"1,301"
15377,2009年,全国,非耐久財（諸雑費）【円】,第3階級,"3,785"
15378,2009年,全国,サービス（諸雑費）【円】,第3階級,"10,762"
15379,2009年,全国,現物支出（＝収入：もらい物）【円】,第3階級,"5,493"
15380,2009年,全国,現物支出　うち食料【円】,第3階級,"4,438"
15381,2009年,全国,持ち家（現住居）の帰属家賃【円】,第3階級,"44,760"
15382,2009年,全国,平均消費性向（％）,第3階級,***
15383,2009年,全国,金融資産純増率（％）,第3階級,***
15384,2009年,全国,貯蓄純増（平均貯蓄率）（％）,第3階級,***
15385,2009年,全国,エンゲル係数（％）,第3階級,24.0
15386,2009年,全国,貯蓄現在高（千円）,第3階級,"11,390"
15387,2009年,全国,通貨性預貯金（千円）,第3階級,"2,051"
15388,2009年,全国,定期性預貯金（千円）,第3階級,"5,729"
15389,2009年,全国,生命保険など（千円）,第3階級,"2,101"
15390,2009年,全国,有価証券（千円）,第3階級,"1,473"
15391,2009年,全国,負債現在高（千円）,第3階級,"1,038"
15392,2009年,全国,住宅・土地のための負債現在高（千円）,第3階級,764
15393,2009年,全国,負債保有率（％）,第3階級,25.1
15394,2009年,全国,住宅・土地のための負債保有率（％）,第3階級,8.2
15395,2009年,全国,（再掲）20万円以上の負債保有率（％）,第3階級,20.6
15396,2009年,全国,集計世帯数,第4階級,"5,603"
15397,2009年,全国,世帯数分布(抽出率調整),第4階級,"5,001,489"
15398,2009年,全国,世帯数分布(抽出率調整)(１万分比),第4階級,"1,000"
15399,2009年,全国,世帯人員（人）,第4階級,2.20
15400,2009年,全国,18歳未満人員（人）,第4階級,0.30
15401,2009年,全国,65歳以上人員（人）,第4階級,0.81
15402,2009年,全国,65歳以上のうち無職者人員（人）,第4階級,0.70
15403,2009年,全国,有業人員（人）,第4階級,0.85
15404,2009年,全国,世帯主の年齢（歳）,第4階級,57.4
15405,2009年,全国,世帯主の性別　男（人）,第4階級,0.809
15406,2009年,全国,世帯主の性別　女（人）,第4階級,0.191
15407,2009年,全国,持ち家率(現住居)（％）,第4階級,70.7
15408,2009年,全国,持ち家のうち住宅ローン保有率（％）,第4階級,12.2
15409,2009年,全国,家賃・地代を支払っている世帯の割合（％）,第4階級,30.8
15410,2009年,全国,現住居の延べ床面積（平方m）,第4階級,100.9
15411,2009年,全国,自動車保有台数（千世帯当たり）,第4階級,973
15412,2009年,全国,自動車保有率（％）,第4階級,71.1
15413,2009年,全国,年間収入（千円）,第4階級,"3,571"
15414,2009年,全国,受取【円】,第4階級,***
15415,2009年,全国,実収入【円】,第4階級,***
15416,2009年,全国,経常収入【円】,第4階級,***
15417,2009年,全国,勤め先収入【円】,第4階級,***
15418,2009年,全国,世帯主の勤め先収入【円】,第4階級,***
15419,2009年,全国,世帯主が男の勤め先収入【円】,第4階級,***
15420,2009年,全国,世帯主が男の勤め先収入　定期収入【円】,第4階級,***
15421,2009年,全国,世帯主が男の勤め先収入　臨時収入【円】,第4階級,***
15422,2009年,全国,世帯主が女の勤め先収入【円】,第4階級,***
15423,2009年,全国,世帯主が女の勤め先収入　定期収入【円】,第4階級,***
15424,2009年,全国,世帯主が女の勤め先収入　臨時収入【円】,第4階級,***
15425,2009年,全国,世帯主の配偶者の勤め先収入【円】,第4階級,***
15426,2009年,全国,世帯主の配偶者が男の勤め先収入【円】,第4階級,***
15427,2009年,全国,世帯主の配偶者が女の勤め先収入【円】,第4階級,***
15428,2009年,全国,他の世帯員の勤め先収入【円】,第4階級,***
15429,2009年,全国,男の他の世帯員の勤め先収入【円】,第4階級,***
15430,2009年,全国,女の他の世帯員の勤め先収入【円】,第4階級,***
15431,2009年,全国,事業・内職収入【円】,第4階級,***
15432,2009年,全国,農林漁業収入【円】,第4階級,***
15433,2009年,全国,家賃収入【円】,第4階級,***
15434,2009年,全国,他の事業収入【円】,第4階級,***
15435,2009年,全国,内職収入【円】,第4階級,***
15436,2009年,全国,本業以外の勤め先・事業・内職収入【円】,第4階級,***
15437,2009年,全国,他の経常収入【円】,第4階級,***
15438,2009年,全国,財産収入【円】,第4階級,***
15439,2009年,全国,社会保障給付【円】,第4階級,***
15440,2009年,全国,公的年金給付【円】,第4階級,***
15441,2009年,全国,雇用保険法に基づく給付【円】,第4階級,***
15442,2009年,全国,他の社会保障給付【円】,第4階級,***
15443,2009年,全国,仕送り金（収入）【円】,第4階級,***
15444,2009年,全国,特別収入【円】,第4階級,***
15445,2009年,全国,受贈金【円】,第4階級,***
15446,2009年,全国,他の特別収入【円】,第4階級,***
15447,2009年,全国,（再掲）移転収入【円】,第4階級,***
15448,2009年,全国,実収入以外の受取（繰入金を除く）【円】,第4階級,***
15449,2009年,全国,預貯金引出【円】,第4階級,***
15450,2009年,全国,保険金【円】,第4階級,***
15451,2009年,全国,個人・企業年金保険金【円】,第4階級,***
15452,2009年,全国,他の保険金【円】,第4階級,***
15453,2009年,全国,有価証券売却【円】,第4階級,***
15454,2009年,全国,株式売却【円】,第4階級,***
15455,2009年,全国,他の有価証券売却【円】,第4階級,***
15456,2009年,全国,土地家屋借入金【円】,第4階級,***
15457,2009年,全国,他の借入金【円】,第4階級,***
15458,2009年,全国,分割払・一括払購入借入金【円】,第4階級,***
15459,2009年,全国,財産売却【円】,第4階級,***
15460,2009年,全国,実収入以外の受取のその他【円】,第4階級,***
15461,2009年,全国,繰入金【円】,第4階級,***
15462,2009年,全国,可処分所得【円】,第4階級,***
15463,2009年,全国,支払【円】,第4階級,***
15464,2009年,全国,実支出【円】,第4階級,***
15465,2009年,全国,消費支出【円】,第4階級,"219,857"
15466,2009年,全国,食料【円】,第4階級,"54,206"
15467,2009年,全国,穀類【円】,第4階級,"5,435"
15468,2009年,全国,米【円】,第4階級,"2,424"
15469,2009年,全国,パン【円】,第4階級,"1,710"
15470,2009年,全国,めん類【円】,第4階級,"1,051"
15471,2009年,全国,他の穀類【円】,第4階級,251
15472,2009年,全国,魚介類【円】,第4階級,"5,005"
15473,2009年,全国,生鮮魚介【円】,第4階級,"3,113"
15474,2009年,全国,塩干魚介【円】,第4階級,815
15475,2009年,全国,魚肉練製品【円】,第4階級,546
15476,2009年,全国,他の魚介加工品【円】,第4階級,531
15477,2009年,全国,肉類【円】,第4階級,"4,097"
15478,2009年,全国,生鮮肉【円】,第4階級,"3,260"
15479,2009年,全国,加工肉【円】,第4階級,837
15480,2009年,全国,乳卵類【円】,第4階級,"2,476"
15481,2009年,全国,牛乳【円】,第4階級,"1,122"
15482,2009年,全国,乳製品【円】,第4階級,853
15483,2009年,全国,卵【円】,第4階級,502
15484,2009年,全国,野菜・海藻【円】,第4階級,"6,663"
15485,2009年,全国,生鮮野菜【円】,第4階級,"4,445"
15486,2009年,全国,乾物・海藻【円】,第4階級,513
15487,2009年,全国,大豆加工品【円】,第4階級,859
15488,2009年,全国,他の野菜・海藻加工品【円】,第4階級,846
15489,2009年,全国,果物【円】,第4階級,"2,263"
15490,2009年,全国,生鮮果物【円】,第4階級,"2,184"
15491,2009年,全国,果物加工品【円】,第4階級,79
15492,2009年,全国,油脂・調味料【円】,第4階級,"2,426"
15493,2009年,全国,油脂【円】,第4階級,228
15494,2009年,全国,調味料【円】,第4階級,"2,198"
15495,2009年,全国,菓子類【円】,第4階級,"3,645"
15496,2009年,全国,調理食品【円】,第4階級,"6,725"
15497,2009年,全国,主食的調理食品【円】,第4階級,"3,146"
15498,2009年,全国,他の調理食品【円】,第4階級,"3,578"
15499,2009年,全国,飲料【円】,第4階級,"2,975"
15500,2009年,全国,茶類【円】,第4階級,821
15501,2009年,全国,コーヒー・ココア【円】,第4階級,642
15502,2009年,全国,他の飲料【円】,第4階級,"1,512"
15503,2009年,全国,酒類【円】,第4階級,"2,614"
15504,2009年,全国,外食【円】,第4階級,"9,874"
15505,2009年,全国,一般外食【円】,第4階級,"9,445"
15506,2009年,全国,学校給食【円】,第4階級,429
15507,2009年,全国,賄い費【円】,第4階級,9
15508,2009年,全国,住居【円】,第4階級,"22,249"
15509,2009年,全国,家賃地代【円】,第4階級,"15,051"
15510,2009年,全国,（特掲）家賃【円】,第4階級,"14,725"
15511,2009年,全国,設備修繕・維持【円】,第4階級,"7,198"
15512,2009年,全国,設備材料【円】,第4階級,"1,337"
15513,2009年,全国,工事その他のサービス【円】,第4階級,"5,862"
15514,2009年,全国,光熱・水道【円】,第4階級,"15,051"
15515,2009年,全国,電気代【円】,第4階級,"6,573"
15516,2009年,全国,ガス代【円】,第4階級,"3,657"
15517,2009年,全国,他の光熱【円】,第4階級,778
15518,2009年,全国,上下水道料【円】,第4階級,"4,044"
15519,2009年,全国,家具・家事用品【円】,第4階級,"7,479"
15520,2009年,全国,家庭用耐久財【円】,第4階級,"2,326"
15521,2009年,全国,家事用耐久財【円】,第4階級,"1,327"
15522,2009年,全国,冷暖房用器具【円】,第4階級,561
15523,2009年,全国,一般家具【円】,第4階級,437
15524,2009年,全国,室内装備・装飾品【円】,第4階級,659
15525,2009年,全国,寝具類【円】,第4階級,482
15526,2009年,全国,家事雑貨【円】,第4階級,"1,511"
15527,2009年,全国,家事用消耗品【円】,第4階級,"1,633"
15528,2009年,全国,家事サービス【円】,第4階級,868
15529,2009年,全国,被服及び履物【円】,第4階級,"7,966"
15530,2009年,全国,和服【円】,第4階級,127
15531,2009年,全国,洋服【円】,第4階級,"3,226"
15532,2009年,全国,男子用洋服【円】,第4階級,"1,038"
15533,2009年,全国,婦人用洋服【円】,第4階級,"1,933"
15534,2009年,全国,子供用洋服【円】,第4階級,255
15535,2009年,全国,シャツ・セーター類【円】,第4階級,"1,508"
15536,2009年,全国,男子用シャツ・セーター類【円】,第4階級,486
15537,2009年,全国,婦人用シャツ・セーター類【円】,第4階級,962
15538,2009年,全国,子供用シャツ・セーター類【円】,第4階級,60
15539,2009年,全国,下着類【円】,第4階級,809
15540,2009年,全国,男子用下着類【円】,第4階級,322
15541,2009年,全国,婦人用下着類【円】,第4階級,433
15542,2009年,全国,子供用下着類【円】,第4階級,53
15543,2009年,全国,生地・糸類【円】,第4階級,128
15544,2009年,全国,他の被服【円】,第4階級,682
15545,2009年,全国,履物類【円】,第4階級,990
15546,2009年,全国,被服関連サービス【円】,第4階級,496
15547,2009年,全国,保健医療【円】,第4階級,"11,044"
15548,2009年,全国,医薬品【円】,第4階級,"2,178"
15549,2009年,全国,健康保持用摂取品【円】,第4階級,"1,040"
15550,2009年,全国,保健医療用品・器具【円】,第4階級,"1,779"
15551,2009年,全国,保健医療サービス【円】,第4階級,"6,046"
15552,2009年,全国,交通・通信【円】,第4階級,"29,445"
15553,2009年,全国,交通【円】,第4階級,"4,649"
15554,2009年,全国,自動車等関係費【円】,第4階級,"15,233"
15555,2009年,全国,自動車等購入【円】,第4階級,"3,670"
15556,2009年,全国,自転車購入【円】,第4階級,98
15557,2009年,全国,自動車等維持【円】,第4階級,"11,465"
15558,2009年,全国,通信【円】,第4階級,"9,563"
15559,2009年,全国,（特掲）移動電話通信料【円】,第4階級,"5,768"
15560,2009年,全国,教育【円】,第4階級,"3,718"
15561,2009年,全国,授業料等【円】,第4階級,"3,290"
15562,2009年,全国,教科書・学習参考教材【円】,第4階級,36
15563,2009年,全国,補習教育【円】,第4階級,392
15564,2009年,全国,教養娯楽【円】,第4階級,"25,681"
15565,2009年,全国,教養娯楽用耐久財【円】,第4階級,"3,190"
15566,2009年,全国,教養娯楽用品【円】,第4階級,"4,671"
15567,2009年,全国,書籍・他の印刷物【円】,第4階級,"3,899"
15568,2009年,全国,教養娯楽サービス【円】,第4階級,"13,921"
15569,2009年,全国,宿泊料【円】,第4階級,"1,160"
15570,2009年,全国,パック旅行費【円】,第4階級,"3,362"
15571,2009年,全国,月謝類【円】,第4階級,"1,680"
15572,2009年,全国,他の教養娯楽サービス【円】,第4階級,"7,720"
15573,2009年,全国,（特掲）インターネット接続料【円】,第4階級,"1,497"
15574,2009年,全国,その他の消費支出【円】,第4階級,"43,018"
15575,2009年,全国,諸雑費【円】,第4階級,"16,700"
15576,2009年,全国,理美容サービス【円】,第4階級,"2,718"
15577,2009年,全国,理美容用品【円】,第4階級,"3,060"
15578,2009年,全国,身の回り用品【円】,第4階級,964
15579,2009年,全国,たばこ【円】,第4階級,"1,097"
15580,2009年,全国,他の諸雑費【円】,第4階級,"8,861"
15581,2009年,全国,こづかい（使途不明）【円】,第4階級,"6,823"
15582,2009年,全国,交際費【円】,第4階級,"18,183"
15583,2009年,全国,食料（交際費）【円】,第4階級,"3,949"
15584,2009年,全国,家具・家事用品（交際費）【円】,第4階級,206
15585,2009年,全国,被服及び履物（交際費）【円】,第4階級,469
15586,2009年,全国,教養娯楽（交際費）【円】,第4階級,693
15587,2009年,全国,他の物品サービス（交際費）【円】,第4階級,536
15588,2009年,全国,贈与金（交際費）【円】,第4階級,"9,357"
15589,2009年,全国,他の交際費【円】,第4階級,"2,971"
15590,2009年,全国,仕送り金（支出）【円】,第4階級,"1,312"
15591,2009年,全国,（再掲）移転支出【円】,第4階級,"10,670"
15592,2009年,全国,（再掲）教育関係費【円】,第4階級,"5,058"
15593,2009年,全国,（再掲）教養娯楽関係費【円】,第4階級,"29,035"
15594,2009年,全国,（再掲）教養娯楽関係費　耐久財【円】,第4階級,"3,253"
15595,2009年,全国,（再掲）教養娯楽関係費　読書【円】,第4階級,"3,944"
15596,2009年,全国,（再掲）教養娯楽関係費　聴視・観覧【円】,第4階級,"2,538"
15597,2009年,全国,（再掲）教養娯楽関係費　旅行【円】,第4階級,"7,361"
15598,2009年,全国,（再掲）教養娯楽関係費　スポーツ【円】,第4階級,"1,731"
15599,2009年,全国,（再掲）教養娯楽関係費　月謝【円】,第4階級,"1,620"
15600,2009年,全国,（再掲）教養娯楽関係費　会費・つきあい費【円】,第4階級,793
15601,2009年,全国,（再掲）教養娯楽関係費　他の教養娯楽【円】,第4階級,"7,794"
15602,2009年,全国,（再掲）教養娯楽関係費　(耐久財を除く）【円】,第4階級,"25,782"
15603,2009年,全国,（再掲）情報通信関係費【円】,第4階級,"11,719"
15604,2009年,全国,（再掲）経常消費支出【円】,第4階級,"192,657"
15605,2009年,全国,非消費支出【円】,第4階級,***
15606,2009年,全国,直接税【円】,第4階級,***
15607,2009年,全国,勤労所得税【円】,第4階級,***
15608,2009年,全国,個人住民税【円】,第4階級,***
15609,2009年,全国,他の税【円】,第4階級,***
15610,2009年,全国,社会保険料【円】,第4階級,***
15611,2009年,全国,公的年金保険料【円】,第4階級,***
15612,2009年,全国,健康保険料【円】,第4階級,***
15613,2009年,全国,介護保険料【円】,第4階級,***
15614,2009年,全国,他の社会保険料【円】,第4階級,***
15615,2009年,全国,他の非消費支出【円】,第4階級,***
15616,2009年,全国,実支出以外の支払（繰越金を除く）【円】,第4階級,***
15617,2009年,全国,預貯金【円】,第4階級,***
15618,2009年,全国,保険料【円】,第4階級,***
15619,2009年,全国,個人・企業年金保険料【円】,第4階級,***
15620,2009年,全国,他の保険料【円】,第4階級,***
15621,2009年,全国,有価証券購入【円】,第4階級,***
15622,2009年,全国,株式購入【円】,第4階級,***
15623,2009年,全国,他の有価証券購入【円】,第4階級,***
15624,2009年,全国,土地家屋借金返済【円】,第4階級,"8,089"
15625,2009年,全国,他の借金返済【円】,第4階級,***
15626,2009年,全国,分割払・一括払購入借入金返済【円】,第4階級,***
15627,2009年,全国,財産購入【円】,第4階級,***
15628,2009年,全国,実支出以外の支払のその他【円】,第4階級,***
15629,2009年,全国,繰越金【円】,第4階級,***
15630,2009年,全国,財・サービス支出計【円】,第4階級,"199,393"
15631,2009年,全国,商品　（財）【円】,第4階級,"110,705"
15632,2009年,全国,耐久財【円】,第4階級,"11,882"
15633,2009年,全国,半耐久財【円】,第4階級,"16,295"
15634,2009年,全国,非耐久財【円】,第4階級,"82,528"
15635,2009年,全国,サービス【円】,第4階級,"88,688"
15636,2009年,全国,食料（財・サービス）【円】,第4階級,"58,155"
15637,2009年,全国,非耐久財（食料）【円】,第4階級,"47,410"
15638,2009年,全国,サービス（食料）【円】,第4階級,"10,746"
